definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,config_hash,checkpoint_role,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,detector,ood_dataset,ood_group,class_index,statistic,quantile_probability,sample_count,role,optimizer,lr,weight_decay,value,training_seed,checkpoint_sha256,completed_epoch
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.04101898102834408,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/ece_raw_m30,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.04124365273280421,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/ece_ts_m15,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.008914561462015573,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.9266428526767633,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.2901462869182439,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/nll_ts,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C2,adam,0.0003,0.001,0.20467596650000996,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,db137e7d3c712f7a4752a4ecaee827c58ae25bc907f916dbab0de88a87e33211,last,id/temperature,ID-4,control,descriptive,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C2,adam,0.0003,0.001,1.9871040869674472,0,7dc37a66c5ed5355eeecea2a598494069d9950a03609075950720715f0520bd9,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/accuracy,ID-1,primary,up,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.9417,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/augrc_msp_raw,ID-6,primary,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.005111399999999999,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/aurc_msp_raw,ID-7,appendix,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.005768916798279655,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/ece_raw_m10,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.04379516236341646,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/ece_raw_m15,ID-3,primary,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.04379516236341638,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/ece_raw_m30,ID-3,appendix,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.0438616935008698,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/ece_ts_m15,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.005153538489485093,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/misclassification_auroc_msp_raw,ID-5,primary,up,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.9378527137247317,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/nll_raw,ID-2,primary,down,,id_test,raw_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.34933195834235803,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/nll_ts,ID-4,control,down,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C3,sgd,0.1,0.0,0.17563456056446897,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,,,f315d560c588b29298c6e3749f644634c09a1f3187eeea25d98e941c498f6242,last,id/temperature,ID-4,control,descriptive,id_validation,id_test,temperature_scaled_logits,,,,,,,10000,C3,sgd,0.1,0.0,3.135514674607546,0,da7cd6870e394035903bb506e00afdb6427eb414b4b6a0eaf52be250918dc7fb,200
